ALEACION,Al - min,Al - max,Mg - min,Mg - max,Zn - min,Zn - max,Mn - min,Mn - max,Cu - min,Cu - max,Fe - min,Fe - max,Si - min,Si - max,Ni - min,Ni - max
2021,0,100,0,0.02,0,0.1,0.2,0.4,5.8,6.8,0,0.3,0,0.2,0,0.01
2024,0,100,1.2,1.8,0,0.25,0.3,0.9,3.8,4.9,0,0.05,0,0.05,0,0.01
2025,0,100,0,0.05,0,0.25,0.4,1.2,3.9,5,0,1,0.5,1.2,0,0.01
2030,0,100,0.5,1.3,0,0.01,0.2,1,3.3,4.5,0,0.7,0,0.8,0,0.01
2031,0,100,0.6,1.2,0,0.2,0,0.5,1.8,2.8,0.6,1.2,0.5,1.3,0,0.01
2034,0,100,1.3,1.9,0.2,0.2,0.8,1.3,4.2,4.8,0.12,0.12,0.1,0.1,0,0.01
2036,0,100,0.3,0.6,0,0.25,0.1,0.4,2.2,3,0,0.5,0,0.5,0,0.01
2037,0,100,0.3,0.8,0,0.25,0.1,0.4,1.4,2.2,0,0.5,0,0.5,0,0.01
2038,0,100,0.4,1,0.5,0.5,0.1,0.4,0.8,1.8,0.6,0.6,0.5,1.3,0,0.01
2048,0,100,1.2,1.8,0,0.25,0.2,0.6,2.8,3.8,0,0.2,0,0.15,0,0.01
2080,0,100,1.5,2.2,0,0.1,0,0.25,3.3,4.1,0,0.2,0,0.1,0,0.01
2090,0,100,0,0.25,0,0.1,0,0.05,2.4,3,0,0.12,0,0.1,0,0.01
2091,0,100,1.1,1.9,0,0.25,0,0.1,1.8,2.5,0,0.3,0,0.2,0,0.01
2094,0,100,0.25,0.8,0,0.25,0,0.25,4.4,5.2,0,0.15,0,0.12,0,0.01
2095,0,100,0.25,0.8,0,0.25,0,0.25,3.9,4.6,0,0.15,0,0.12,0,0.01
2096,0,100,0.25,0.8,0,0.25,0,0.25,2.3,3,0,0.15,0,0.12,0,0.01
2097,0,100,0,0.35,0,0.35,0.1,0.6,2.5,3.1,0,0.15,0,0.12,0,0.01
2111,0,100,0,0.01,0,0.3,0,0.01,5,6,0,0.7,0,0.4,0,0.01
2117,0,100,0.2,0.5,0,0.25,0,0.2,2.2,3,0,0.7,0,0.8,0,0.01
2124,0,100,1.2,1.8,0,0.25,0.3,0.9,3.8,4.9,0,0.3,0,0.2,0,0.01
2195,0,100,0.25,0.8,0,0.25,0,0.25,3.7,4.3,0,0.15,0,0.12,0,0.01
2197,0,100,0,0.25,0,0.05,0.1,0.5,2.5,3.1,0,0.1,0,0.1,0,0.01
2214,0,100,0.2,0.8,0,0.25,0.4,1.2,3.9,5,0,0.3,0.5,1.2,0,0.01
2218,0,100,1.2,1.8,0,0.25,0,0.2,3.5,4.5,0,1,0,0.9,0,0.01
2219,0,100,0,0.02,0,0.1,0.2,0.4,5.8,6.8,0,0.3,0,0.2,0,0.01
2224,0,100,1.2,1.8,0,0.25,0.3,0.9,3.8,4.4,0,0.15,0,0.12,0,0.01
2297,0,100,0,0.25,0,0.05,0.1,0.5,2.5,3.1,0,0.1,0,0.1,0,0.01
2319,0,100,0,0.02,0,0.1,0.2,0.4,5.8,6.8,0,0.3,0,0.2,0,0.01
2324,0,100,1.2,1.8,0,0.25,0.3,0.9,3.8,4.4,0,0.12,0,0.1,0,0.01
2419,0,100,0,0.02,0,0.1,0.2,0.4,5.8,6.8,0,0.18,0,1.15,0,0.01
2424,0,100,1.2,1.6,0,0.2,0.3,0.6,3.8,4.4,0,0.12,0,0.1,0,0.01
2519,0,100,0.05,0.4,0,0.1,0.1,0.5,5.3,6.4,0,0.3,0,0.25,0,0.01
2524,0,100,1.2,1.6,0,0.15,0.45,0.7,4,4.5,0,0.12,0,0.06,0,0.01
2618,0,100,1.3,1.8,0,0.01,0,0.01,1.9,2.7,0.9,1.3,0.1,0.25,0,0.01
3002,0,100,0.05,0.2,0,0.03,0.05,0.25,0,0.15,0,0.1,0,0.08,0,0.01
3003,0,100,0,0.01,0,0.1,1,1.5,0.05,0.2,0,0.7,0,0.6,0,0.01
3004,0,100,0.8,1.3,0,0.25,1,1.5,0,0.25,0,0.7,0,0.3,0,0.01
3005,0,100,0.2,0.6,0,0.25,1,1.5,0,0.3,0,0.7,0,0.6,0,0.01
3006,0,100,0.3,0.6,0.15,0.4,0.5,0.8,0.1,0.3,0,0.7,0,0.5,0,0.01
3007,0,100,0,0.6,0,0.4,0.3,0.8,0.05,0.3,0,0.7,0,0.5,0,0.01
3008,0,100,0,0.01,0,0.05,1.2,1.8,0,0.1,0,0.7,0,0.4,0,0.01
3009,0,100,0,0.1,0,0.05,1.2,1.8,0,0.1,0,0.7,1,1.8,0,0.01
3010,0,100,0,0.01,0,0.05,0.2,0.9,0,0.03,0,0.2,0,0.1,0,0.01
3011,0,100,0,0.01,0,0.1,0.8,1.2,0.05,0.2,0,0.7,0,0.4,0,0.01
3012,0,100,0,0.1,0,0.1,0.5,1.1,0,0.1,0,0.7,0,0.6,0,0.01
3013,0,100,0.2,0.6,0.5,1,0.9,1.4,0,0.5,0,1,0,0.6,0,0.01
3014,0,100,0,0.1,0.5,1,1,1.5,0,0.5,0,1,0,0.6,0,0.01
3015,0,100,0.2,0.7,0,0.25,0.5,0.9,0,0.3,0,0.8,0,0.6,0,0.01
3016,0,100,0.5,0.8,0.25,0.25,0.5,0.9,0,0.3,0,0.8,0,0.6,0,0.01
3017,0,100,0,0.1,0,0.1,0.8,1.2,0.25,0.4,0.25,0.45,0,0.25,0,0.01
3018,0,100,0.8,1.4,0,0.25,1.1,1.4,0.1,0.3,0.15,0.25,0,0.3,0,0.01
3020,0,100,0,0.05,0.05,0.5,0.6,1.4,0,0.1,0,0.35,0,0.15,0,0.01
3025,0,100,0.2,0.8,0,0.25,0.4,1,0,0.3,0.5,0.9,0,0.6,0,0.01
3030,0,100,0,0.05,0.05,0.5,0.1,0.7,0,0.1,0,0.35,0,0.15,0,0.01
3102,0,100,0,0.01,0,0.3,0.05,0.4,0,0.1,0,0.7,0,0.4,0,0.01
3103,0,100,0,0.3,0,0.2,0.9,1.5,0,0.1,0,0.7,0,0.5,0,0.01
3104,0,100,0.8,1.3,0,0.25,0.8,1.4,0.05,0.25,0,0.8,0,0.6,0,0.01
3105,0,100,0.2,0.8,0,0.4,0.3,0.8,0,0.3,0,0.7,0,0.6,0,0.01
3107,0,100,0,0.01,0,0.2,0.4,0.9,0.05,0.15,0,0.7,0,0.6,0,0.01
3203,0,100,0,0.01,0,0.1,1,1.5,0,0.05,0,0.7,0,0.6,0,0.01
3204,0,100,0.8,1.5,0,0.25,0.8,1.5,0.1,0.25,0,0.7,0,0.3,0,0.01
3207,0,100,0,0.1,0,0.1,0.4,0.8,0,0.1,0,0.45,0,0.3,0,0.01
3303,0,100,0,0.01,0,0.3,1,1.5,0.05,0.2,0,0.7,0,0.6,0,0.01
3307,0,100,0,0.3,0,0.4,0.5,0.9,0,0.3,0,0.8,0,0.6,0,0.01
4002,0,100,0.05,0.15,0,0.15,0,0.03,0.05,0.15,0,0.35,3.5,4.5,0,0.01
4004,0,100,1,2,0,0.2,0,0.1,0,0.25,0,0.8,9,10.5,0,0.01
4006,0,100,0,0.01,0,0.05,0,0.05,0,0.1,0.5,0.8,0.8,1.2,0,0.01
4007,0,100,0,0.2,0,0.1,0.8,1.5,0,0.2,0.4,1,1,1.7,0,0.01
4008,0,100,0.3,0.45,0,0.05,0,0.05,0,0.05,0,0.09,6.5,7.5,0,0.01
4009,0,100,0.45,0.6,0,0.1,0,0.1,1,1.5,0,0.1,4.5,5.5,0,0.01
4010,0,100,0.3,0.45,0,0.1,0,0.1,0,0.2,0,0.2,6.5,7.5,0,0.01
4011,0,100,0.45,0.7,0,0.1,0,0.1,0,0.2,0,0.2,6.5,7.5,0,0.01
4013,0,100,0.05,0.2,0,0.05,0,0.03,0.05,0.2,0,0.35,3.5,4.5,0,0.01
4014,0,100,0.3,0.8,0,0.2,0,0.35,0,0.2,0,0.7,1.4,2.2,0,0.01
4015,0,100,0.1,0.5,0,0.2,0.6,1.2,0,0.2,0,0.7,1.4,2.2,0,0.01
4017,0,100,0.1,0.5,0,0.2,0.6,1.2,0.1,0.5,0,0.7,0.6,1.6,0,0.01
4018,0,100,0.5,0.8,0,0.1,0,0.1,0,0.05,0,0.2,6.5,7.5,0,0.01
4032,0,100,0.8,1.3,0,0.25,0,0.01,0.5,1.3,0,1,11,13.5,0,0.01
4043,0,100,0,0.05,0,0.1,0,0.05,0,0.3,0,0.8,4.5,6,0,0.01
4044,0,100,0,0.01,0,0.2,0,0.1,0,0.25,0,0.8,7.8,9.2,0,0.01
4045,0,100,0,0.05,0,0.1,0,0.05,0,0.3,0,0.8,9,11,0,0.01
4046,0,100,0.2,0.5,0,0.1,0,0.4,0,0.03,0,0.5,9,11,0,0.01
4047,0,100,0,0.1,0,0.2,0,0.15,0,0.3,0,0.8,11,13,0,0.01
4048,0,100,0,0.07,9.3,10.7,0,0.07,3.3,4.7,0,0.8,9.3,10.7,0,0.01
4104,0,100,1,2,0,0.2,0,0.1,0,0.25,0,0.8,9.5,10.5,0,0.01
4145,0,100,0,0.15,0,0.2,0,0.15,3.3,4.7,0,0.8,9.3,10.7,0,0.01
4147,0,100,0.1,0.5,0,0.2,0,0.1,0,0.25,0,0.8,11,13,0,0.01
4343,0,100,0,0.01,0,0.2,0,0.1,0,0.25,0,0.8,6.8,8.2,0,0.01
4543,0,100,0.1,0.4,0,0.1,0,0.05,0,0.1,0,0.5,5,7,0,0.01
4643,0,100,0.1,0.3,0,0.1,0,0.05,0,0.1,0,0.8,3.6,4.6,0,0.01
A301 0,0,100,0.25,0.5,0,0.05,0.5,0.8,3,3.5,0.8,1.5,9.5,10.5,1,1.5
A301 1,0,100,0.3,0.5,0,0.05,0.5,0.8,3,3.5,0.8,1.2,9.5,10.5,1,1.5
A302 0,0,100,0.7,1.2,0,0.05,0,0.01,2.8,3.2,0,0.25,9.5,10.5,1,1.5
A302 1,0,100,0.8,1.2,0,0.05,0,0.01,2.8,3.2,0,0.2,9.5,10.5,1,1.5
A303 0,0,100,0.45,0.7,0,0.05,0.5,0.8,0,0.2,0.8,1.5,9.5,10.5,0,0.01
A303 1,0,100,0.5,0.7,0,0.05,0.5,0.8,0,0.2,0.8,1.2,9.5,10.5,0,0.01
A305 0,0,100,0,0.1,0,0.35,0,0.5,1,1.5,0,0.6,4.5,5.5,0,0.01
A305 2,0,100,0,0.01,0,0.05,0,0.05,1,1.5,0.14,0.25,4.5,5.5,0,0.01
A308 0,0,100,0,0.1,0,1,0,0.5,4,5,0,1,5,6,0,0.01
A308 1,0,100,0,0.1,0,1,0,0.5,4,5,0,0.8,5,6,0,0.01
A308 2,0,100,0,0.1,0,0.5,0,0.3,4,5,0,0.8,5,6,0,0.01
A318 0,0,100,0.1,0.6,0,1,0,0.5,3,4,0,1,5.5,6.5,0,0.35
A318 1,0,100,0.15,0.6,0,0.9,0,0.5,3,4,0,0.8,5.5,6.5,0,0.35
A319 0,0,100,0,0.1,0,1,0,0.5,3,4,0,1,5.5,6.5,0,0.35
A319 1,0,100,0,0.1,0,1,0,0.5,3,4,0,0.8,5.5,6.5,0,0.35
A319 2,0,100,0,0.1,0,0.1,0,0.1,3,4,0,0.6,5.5,6.5,0,0.1
A320 0,0,100,0.05,0.6,0,3,0,0.8,2,4,0,1.2,5,8,0,0.35
A320 1,0,100,0.1,0.6,0,3,0,0.8,2,4,0,0.9,5,8,0,0.35
A324 0,0,100,0.4,0.7,0,1,0,0.05,0.4,0.6,0,1.2,7,8,0,0.3
A324 1P,0,100,0.45,0.7,0,1,0,0.05,0.4,0.6,0,0.9,7,8,0,0.3
A324 2,0,100,0.45,0.7,0,0.1,0,0.1,0.4,0.6,0,0.6,7,8,0,0.1
A328 0,0,100,0.2,0.6,0,1.5,0.2,0.6,1,2,0,1,7.5,8.5,0,0.25
A328 1,0,100,0.25,0.6,0,1.5,0.2,0.6,1,2,0,0.8,7.5,8.5,0,0.25
A332 0,0,100,0.5,1.5,0,1,0,0.05,2,4,0,1.2,8.5,10.5,0,0.5
A332 1,0,100,0.6,1.5,0,1,0,0.05,2,4,0,0.9,8.5,10.5,0,0.05
A332 2,0,100,0.9,1.3,0,0.1,0,0.1,2,4,0,0.6,8.5,10,0,0.1
